Date	Open	High	Low	Close	Volume	20 Day MA
2022-08-04	163.96301856917856	165.12847648912182	162.40249885267505	163.76548767089844	55474100	151.95840911865236
2022-08-05	161.42149166877877	164.03256097795924	161.2137862854175	163.5380401611328	56697000	152.87396469116212
2022-08-08	164.54684054761634	165.97106281766781	162.40062215984423	163.0632781982422	60276900	153.87294387817383
2022-08-09	162.22264609458708	164.00292441691553	161.4610796555614	163.11277770996094	63135500	154.82550811767578
2022-08-10	165.8425040331111	167.48431686739875	165.0710527189911	167.3854217529297	70170500	156.00997619628907
2022-08-11	168.19641850512946	169.11623507587936	166.34691547179767	166.6436309814453	57149200	157.01019134521485
2022-08-12	167.95905190902886	170.2832906162008	167.54364115606236	170.2140655517578	68039400	158.1049774169922
2022-08-15	169.64040151273264	171.48990427978376	169.47226626950757	171.29209899902344	54091700	159.4067512512207
2022-08-16	170.88658972184714	171.8064061674763	169.77886806752667	171.13385009765625	56377100	160.50653686523438
2022-08-17	170.87671426468313	174.21966446969105	170.67890897132506	172.63720703125	79542000	161.58075027465821
2022-08-18	171.84596657137845	172.9833582991053	171.2228655755131	172.2415771484375	62290100	162.5211051940918
2022-08-19	171.13385868884617	171.8360848316901	169.43270601055306	169.64041137695312	70346300	163.39362564086915
2022-08-22	167.83046691850535	167.9986021749076	165.30840788931826	165.73370361328125	69026800	164.127108001709
2022-08-23	165.24906496438413	166.86120752974338	164.82376924774377	165.3974151611328	54147100	164.91044158935546
2022-08-24	165.48643204944847	166.267768198997	164.42815039393415	165.69412231445312	53841500	165.45231094360352
2022-08-25	166.93043085610765	168.27552796176306	166.50515023546376	168.16673278808594	51218200	166.09015502929688
2022-08-26	168.70084764123456	169.17558342491833	161.76765576309623	161.82699584960938	78961000	166.15619430541992
2022-08-29	159.38403607206646	161.114858744671	158.06862412147396	159.6115264892578	73314000	166.1608444213867
2022-08-30	160.35332488669502	160.77860554519057	155.99164766049083	157.16860961914062	77906200	166.11742553710937
2022-08-31	158.55325090337246	158.82029635161928	155.4179909526616	155.4971160888672	87991100	165.68820343017578
